RUNNER,EXP,NUM,STEP,START_X,START_Y,DIRECTION,REWARD_X,REWARD_Y,EXPECTED,ACTUAL,FINAL_X,FINAL_Y,WHY,Q_N,Q_S,Q_E,Q_W,SUGGESTION
3,0,0,0,4,4,1,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,1,4,5,2,5,5,0,0,5,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,2,5,5,3,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,3,4,5,1,4,6,0,0,4,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,4,4,6,0,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,5,4,5,2,5,5,0,0,5,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,6,5,5,2,6,5,0,0,6,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,7,6,5,1,6,6,0,0,6,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,8,6,6,1,6,7,0,0,6,7,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,9,6,7,3,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,10,5,7,3,4,7,0,0,4,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,11,4,7,1,4,7,0,0,4,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,12,4,7,3,3,7,0,0,3,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,13,3,7,3,2,7,0,0,2,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,14,2,7,2,3,7,0,0,3,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,15,3,7,1,3,7,0,0,3,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,16,3,7,0,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,17,3,6,3,2,6,0,0,2,6,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,18,2,6,0,2,5,0,0,2,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,19,2,5,0,2,4,0,0,2,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,20,2,4,3,1,4,0,0,1,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,21,1,4,1,1,5,0,0,1,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,22,1,5,3,0,5,0,0,0,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,23,0,5,1,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,24,0,6,3,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,25,0,6,1,0,7,0,0,0,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,26,0,7,0,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,27,0,6,1,0,7,0,0,0,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,28,0,7,0,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,29,0,6,1,0,7,0,0,0,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,30,0,7,0,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,31,0,6,2,1,6,0,0,1,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,32,1,6,1,1,7,0,0,1,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,33,1,7,3,0,7,0,0,0,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,34,0,7,0,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,35,0,6,2,1,6,0,0,1,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,36,1,6,0,1,5,0,0,1,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,37,1,5,2,2,5,0,0,2,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,38,2,5,3,1,5,0,0,1,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,39,1,5,0,1,4,0,0,1,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,40,1,4,2,2,4,0,0,2,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,41,2,4,0,2,3,0,0,2,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,42,2,3,0,2,2,0,0,2,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,43,2,2,1,2,3,0,0,2,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,44,2,3,3,1,3,0,0,1,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,45,1,3,0,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,46,1,2,2,2,2,0,0,2,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,47,2,2,3,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,48,1,2,2,2,2,0,0,2,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,49,2,2,1,2,3,0,0,2,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,50,2,3,3,1,3,0,0,1,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,51,1,3,0,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,52,1,2,3,0,2,0,0,0,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,53,0,2,0,0,1,0,0,0,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,54,0,1,3,0,1,0,0,0,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,55,0,1,0,0,0,-100,-100,7,7,P,-50.000000,0.000000,0.000000,0.000000,0
3,0,0,56,7,7,1,7,7,0,0,7,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,57,7,7,0,7,6,0,0,7,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,58,7,6,3,6,6,0,0,6,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,59,6,6,0,6,5,0,0,6,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,60,6,5,0,6,4,0,0,6,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,61,6,4,0,6,3,0,0,6,3,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,62,6,3,3,5,3,0,0,5,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,63,5,3,1,5,4,0,0,5,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,64,5,4,3,4,4,0,0,4,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,65,4,4,3,3,4,0,0,3,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,66,3,4,2,4,4,0,0,4,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,67,4,4,1,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,68,4,5,3,3,5,0,0,3,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,69,3,5,2,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,70,4,5,3,3,5,0,0,3,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,71,3,5,2,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,72,4,5,2,5,5,0,0,5,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,73,5,5,2,6,5,0,0,6,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,74,6,5,0,6,4,0,0,6,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,75,6,4,1,6,5,0,0,6,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,76,6,5,3,5,5,0,0,5,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,77,5,5,1,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,78,5,6,2,6,6,0,0,6,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,79,6,6,3,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,80,5,6,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,81,5,7,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,82,5,7,0,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,83,5,6,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,84,5,7,0,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,85,5,6,3,4,6,0,0,4,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,86,4,6,2,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,87,5,6,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,88,5,7,3,4,7,0,0,4,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,89,4,7,2,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,90,5,7,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,91,5,7,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,92,5,7,3,4,7,0,0,4,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,93,4,7,0,4,6,0,0,4,6,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,94,4,6,1,4,7,0,0,4,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,95,4,7,1,4,7,0,0,4,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,96,4,7,0,4,6,0,0,4,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,97,4,6,3,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,98,3,6,3,2,6,0,0,2,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,99,2,6,1,2,7,0,0,2,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,100,2,7,2,3,7,0,0,3,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,101,3,7,0,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,102,3,6,0,3,5,0,0,3,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,103,3,5,1,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,104,3,6,0,3,5,0,0,3,5,P,0.000000,0.000000,0.000000,0.000000,0
